,New Year Celebration,Katrina Parrott,2014‑10‑28,L2/14‑282,141‑A10
Activities,Cinco de Mayo,Katrina Parrott,2014‑10‑28,L2/14‑282,141‑A10
Activities,Halloween,Katrina Parrott,2014‑10‑28,L2/14‑282,141‑A10
,Chess,Juber Moulvi Abdul,2017‑10‑04,L2/18‑018,L2/18‑023
Religious and Cultural Symbols,Chess,Juber Moulvi Abdul,2017‑10‑04,L2/18‑018,L2/18‑023
,Kinara,Katrina Parrott,2014‑10‑28,L2/14‑282,141‑A10
,Symbol for Atheism,"Shervin Afshar, Roozbeh Pournader",2014‑10‑19,L2/14‑235,withdrawn
,Dhyani Buddha,"Shervin Afshar, Roozbeh Pournader",2014‑11‑01,L2/14‑235R3,
,Ichthys,Andrew West,2015‑01‑11,L2/15‑007,
Religious and Cultural Symbols,Darwin Fish,Andrew West,2015‑01‑11,L2/15‑007,withdrawn
Religious and Cultural Symbols,Indalo,Andrew West,2015‑01‑11,L2/15‑007,withdrawn
,Jain Svastika,Anshuman Pandey,2015‑03‑19,L2/15‑097,
Religious and Cultural Symbols,Jain Hand,Anshuman Pandey,2015‑03‑19,L2/15‑097,withdrawn
Religious and Cultural Symbols,Jain Emblem,Anshuman Pandey,2015‑03‑19,L2/15‑097,withdrawn
Religious and Cultural Symbols,Jain Emblem with Om,Anshuman Pandey,2015‑03‑19,L2/15‑097,withdrawn
,Fravahar,Anshuman Pandey,2015‑03‑30,L2/15‑099,
,Atashdan,Anshuman Pandey,2015‑04‑04,L2/15‑105,
,Parsapen,Anshuman Pandey,2015‑04‑14,L2/15‑111,
Transport,Parsapen,Anshuman Pandey,2015‑04‑14,L2/15‑111,withdrawn
,Cycle Rickshaw,Anshuman Pandey,2015‑11‑17,L2/15‑330,
Transport,Pulled Rickshaw,Anshuman Pandey,2015‑11‑17,L2/15‑330,withdrawn
,Stairs,Kate Ingham‐Smith,2018‑11‑15,L2/18‑239,
,Submarine,"Fred Benenson, Nazir Agah",2019‑03‑31,L2/19‑305,L2/20‑242R
Nature and Places,Submarine,"Fred Benenson, Nazir Agah",2019‑03‑31,L2/19‑305,L2/20‑242R
,Mercury[ZWJ sequence:🌐+☿=🌐‍☿],"Zachary Swetz, Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑14,L2/17‑100,
Nature and Places,Venus[ZWJ sequence:🌐+♀️=🌐‍♀️],"Zachary Swetz, Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑14,L2/17‑100,L2/20‑242R
Nature and Places,Mars[ZWJ sequence:🌐+♂️=🌐‍♂️],"Zachary Swetz, Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑14,L2/17‑100,L2/20‑242R
Nature and Places,Jupiter[ZWJ sequence:🌐+♃=🌐‍♃],"Zachary Swetz, Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑14,L2/17‑100,L2/20‑242R
Nature and Places,Uranus[ZWJ sequence:🌐+♅=🌐‍♅],"Zachary Swetz, Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑14,L2/17‑100,L2/20‑242R
Nature and Places,Neptune[ZWJ sequence:🌐+♆=🌐‍♆],"Zachary Swetz, Sam Lemonick, Alli McKee, Jessica Morrison, Anna Smylie, Craig Cummings",2017‑04‑14,L2/17‑100,L2/20‑242R
